iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,epoch,learning_rate
1,0.718940750829365,5.529245361762076,0.718940750829365,5.529245361762076,4.250365864485506,0.4062929104989645,0.512639301659169,0.40385731806833597,0.4242349291850303,1.0785892739090586,0.5576959311158671,0.005220654213231096,7e-07
2,0.6632827507223018,5.526321972744912,0.6632827507223018,5.526321972744912,4.184160165488724,0.32571476768348445,0.41098996106558633,0.3688268021731453,0.48040575972776206,0.9617704792034532,0.48001213076971044,0.010441308426462192,1.4e-06
3,0.784471327556469,5.532889198910846,0.784471327556469,5.532889198910846,4.315946720540529,0.6818285286058798,0.5427106975601765,0.4179730631682205,0.4421921702390561,1.2257495021148581,0.5654224887083176,0.015661962639693286,2.1e-06
4,0.7363417614131172,5.498075589105063,0.7363417614131172,5.498075589105063,4.048451833426956,0.41115791326780393,0.5246226835159816,0.3649380731905028,0.44252032942459635,1.2463866852710532,0.46836409551535296,0.020882616852924384,2.8e-06
5,0.7042581663096549,5.488526198530854,0.7042581663096549,5.488526198530854,4.257568757981064,0.4442203634785141,0.3958869388452567,0.37307700557889517,0.4817860011414838,1.0431512902532345,0.49779434185098753,0.026103271066155478,3.4999999999999995e-06
6,0.6424892463952154,5.445831720071792,0.6424892463952154,5.445831720071792,4.080897215753798,0.33119089180554884,0.4787328317798692,0.32011778267306873,0.3826526388303236,1.0164119140915684,0.5367980591938031,0.03132392527938657,4.2e-06
7,0.6870508193847445,5.485643558891737,0.6870508193847445,5.485643558891737,4.2030225619673764,0.5503622676766824,0.45240511736963,0.43026161861783263,0.43426130582800204,1.0277718909053577,0.5319861806689536,0.03654457949261767,4.9e-06
8,0.7013108631146974,5.41072559698027,0.7013108631146974,5.41072559698027,4.123224124312402,0.3768865614805889,0.5332562976958166,0.43692625063333024,0.48138270360927976,1.1783539908495888,0.4822580268969286,0.04176523370584877,5.6e-06
9,0.6478685508956415,5.389251554902418,0.6478685508956415,5.389251554902418,4.215291578322654,0.5483569830406181,0.5171235082095543,0.376571845208008,0.44699442114333465,0.9049182220054245,0.506231016147435,0.04698588791907986,6.299999999999999e-06
10,0.6989929131547417,5.347765836241613,0.6989929131547417,5.347765836241613,4.02668342366815,0.308267254472431,0.44946250848877256,0.3418746621172915,0.3737936809716224,1.0449407025414357,0.5885584689249637,0.052206542132310955,6.999999999999999e-06
11,0.6404490289124071,5.28271097810156,0.6404490289124071,5.28271097810156,4.034469094127418,0.38992245893647276,0.4609712650064262,0.40880464296552055,0.45630179085274186,0.9670121271861367,0.47658734232562555,0.05742719634554205,7.699999999999999e-06
12,0.6277063473015783,5.21728942335643,0.6277063473015783,5.21728942335643,3.941197700798516,0.2581885950553637,0.5008495239394584,0.381151541071875,0.49640848588155245,0.9302198940932729,0.48409711144279216,0.06264785055877314,8.4e-06
13,0.6879639231720289,5.1697924066426815,0.6879639231720289,5.1697924066426815,3.8757812306284927,0.37735940310474214,0.5444793061298483,0.4366812419614002,0.5057273210457269,1.0865700779605818,0.49283356615131885,0.06786850477200425,9.1e-06
14,0.5734486090739073,5.0890478084988375,0.5734486090739073,5.0890478084988375,3.8678745366632947,0.39056721663759186,0.38367127062792467,0.3227772378134413,0.3847533796821384,0.8977996721411987,0.48191132215225774,0.07308915898523534,9.8e-06
15,0.559768604930349,5.08855882693756,0.559768604930349,5.08855882693756,3.8488529436290277,0.3527648590435936,0.38480018455312404,0.3007324457964768,0.3899028244011953,0.836368639616632,0.4138362101166899,0.07830981319846643,1.05e-05
