iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,epoch,learning_rate,past_weights
1,0.5635730425568837,0.593060812924649,0.5635730425568837,0.593060812924649,0.5852211117744446,0.34261416397967603,0.45423304144071824,0.3293995238152849,0.3320029804074927,0.8357551598797078,0.4594604246973952,0.005220654213231096,7e-07,0.9999649074549476
2,0.5188985989534872,0.5791688164342843,0.5188985989534872,0.5791688164342843,0.5625346913002437,0.26912859268550815,0.33616265482922997,0.3036944111396123,0.3318216715023268,0.7640557831467012,0.39739803125740325,0.010441308426462192,1.4e-06,0.9998946846462786
3,0.6029541246106958,0.5725293677489688,0.6029541246106958,0.5725293677489688,0.580326731782407,0.5160815602699839,0.38031640302998376,0.351953512412568,0.34253916318227806,0.946300673410902,0.4475029729387772,0.015661962639693286,2.1e-06,0.9997894004918635
4,0.6090422987785397,0.5664618908155822,0.6090422987785397,0.5664618908155822,0.5794247197918596,0.3643393692816928,0.4271357747170452,0.3171745325940382,0.33723595764256153,1.046154357090902,0.3998305504602279,0.020882616852924384,2.8e-06,0.9996490318638583
5,0.5375747035926254,0.5781520632251617,0.5375747035926254,0.5781520632251617,0.5677118120947853,0.36907338804641915,0.3137211461182344,0.307097681787734,0.3640129130715739,0.7965544485286401,0.3944068736831657,0.026103271066155478,3.4999999999999995e-06,0.9994735748817524
6,0.518951142089647,0.5775186001463815,0.518951142089647,0.5775186001463815,0.5608758749440318,0.2753093122023327,0.3736067652122759,0.2721883659745636,0.3089689840834048,0.8168749089063816,0.44877793939620664,0.03132392527938657,4.2e-06,0.9992631291970611
7,0.5014164921270514,0.5808665158369687,0.5014164921270514,0.5808665158369687,0.559630228672177,0.4366972309392378,0.2950768805828123,0.33969874376529874,0.3364679319202535,0.7286577547670199,0.40353306784544674,0.03654457949261767,4.9e-06,0.9990175717199842
8,0.5587733310177034,0.5713617025514758,0.5587733310177034,0.5713617025514758,0.5679201805032795,0.31259265727038216,0.4593769397182925,0.3649902084280644,0.36987134097014474,0.9426582632051453,0.39730277288398325,0.04176523370584877,5.6e-06,0.9987369721444944
9,0.5023742558996542,0.5578188790262528,0.5023742558996542,0.5578188790262528,0.5440908697200944,0.48235990404207396,0.4166346481105503,0.3260251586197564,0.34821355107405655,0.7231789584337525,0.3793531577655083,0.04698588791907986,6.299999999999999e-06,0.9984215024548272
10,0.5722727001346488,0.5617640617712488,0.5722727001346488,0.5617640617712488,0.5647503889631481,0.2706480637551358,0.3309801455509333,0.30092065286713066,0.2936406640569748,0.8712410268980965,0.48483139369930706,0.052206542132310955,6.999999999999999e-06,0.9980710806945959
