iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,epoch,learning_rate
1,0.765910186768417,nan,0.7481888786752585,0.7685376022292684,0.765910186768417,0.5671582011896592,0.5805686911177121,0.5072775869712035,0.4961601790406781,1.0829119122509903,0.5950357564833662,0.005220654213231096,7e-07
2,0.734311794962936,nan,0.6791177653032374,0.7427081440763612,0.734311794962936,0.4467925451804979,0.5134229620663617,0.44242105678467747,0.48796634955347673,0.9852282672810293,0.5283235333533697,0.010441308426462192,1.4e-06
3,0.7810831573733816,nan,0.8050821634262547,0.7779424005991098,0.7810831573733816,0.7820935523376399,0.6451202199987401,0.5265571381238601,0.518731055229044,1.1980505832902142,0.6374050397958763,0.015661962639693286,2.1e-06
4,0.7485823081586457,nan,0.7571514605932788,0.7471093060322762,0.7485823081586457,0.48079379809908424,0.5379078310485844,0.4498277914798266,0.4713415029037894,1.2792206983114915,0.5331203470995093,0.020882616852924384,2.8e-06
5,0.7368284798971683,nan,0.7285590296370337,0.7380444721901762,0.7368284798971683,0.5649639014560004,0.5710855652818501,0.46263115611061856,0.5123216696752231,1.0106266731063802,0.5745733468751865,0.026103271066155478,3.4999999999999995e-06
6,0.7359796958941625,nan,0.6865713125521601,0.7433235843949548,0.7359796958941625,0.4151293368072418,0.6146371556221706,0.43866066307479695,0.4660430435991468,1.0354456746530236,0.611005511260269,0.03132392527938657,4.2e-06
7,0.7680766559293156,nan,0.7481873984247193,0.7706536618231491,0.7680766559293156,0.6437265245803876,0.555521025840022,0.5263438453984197,0.5344945711056578,1.077193043084733,0.6154072559622372,0.03654457949261767,4.9e-06
8,0.7475168868016651,nan,0.7272940470168736,0.7504845931324242,0.7475168868016651,0.5006994845170492,0.7164354041265716,0.5370447647601363,0.5630953196995798,1.2010535187417295,0.5213776090361861,0.04176523370584877,5.6e-06
9,0.7557088528645226,nan,0.7446246487618632,0.7570981966690694,0.7557088528645226,0.6794446448599532,0.67429401372783,0.4930601945979519,0.6178330308211085,1.0030747145024619,0.6006827744623633,0.04698588791907986,6.299999999999999e-06
10,0.7402925117387776,nan,0.6904663682402263,0.7486415877864008,0.7402925117387776,0.2571724461330102,0.6155529864544992,0.40331334420836706,0.40738808109635233,1.076924460513929,0.5884626150235331,0.052206542132310955,6.999999999999999e-06
