iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,epoch,learning_rate
1,0.5830057668499654,nan,0.5620722699642046,0.5905866958241626,0.5830057668499654,0.3423011416780869,0.4556843612812444,0.3289849779956151,0.3319920293283709,0.8354614173081155,0.46055326921997297,0.005220654213231096,7e-07
2,0.5602897196076816,nan,0.5175302132873998,0.5765896831918915,0.5602897196076816,0.26873193601674894,0.33589385912216546,0.3038679419331277,0.33175834943591603,0.7637719595022173,0.43820495371730833,0.010441308426462192,1.4e-06
3,0.5780647066421809,nan,0.6013845920948452,0.5700286938416712,0.5780647066421809,0.5169121959326219,0.37878761065772704,0.3521200620266984,0.34265837494813844,0.945784192261326,0.5368811637419557,0.015661962639693286,2.1e-06
4,0.5770817662123593,nan,0.6077898459216128,0.5636416494586919,0.5770817662123593,0.3643427543702706,0.42563964144654,0.3173591903719259,0.337046798966907,1.0459066440253928,0.4417388752095137,0.020882616852924384,2.8e-06
5,0.5653957973700018,nan,0.5360774919391006,0.575552389562144,0.5653957973700018,0.36835458456046755,0.3135442231287301,0.30696336345858016,0.363673067334962,0.7963976473492077,0.4018268093618734,0.026103271066155478,3.4999999999999995e-06
6,0.5584788485430184,nan,0.5175155351702264,0.5747399328440811,0.5584788485430184,0.2757060607783127,0.3720793881495039,0.2722643837704828,0.30898927885302546,0.816640264154345,0.49364223893319686,0.03132392527938657,4.2e-06
7,0.5571981235407296,nan,0.49973676735782346,0.5781599440001551,0.5571981235407296,0.43597531177257004,0.2946479644886132,0.3396495705363754,0.33622063580584366,0.7281018799485497,0.4448813294488521,0.03654457949261767,4.9e-06
8,0.5653757902327927,nan,0.5572646087290739,0.5684276463272039,0.5653757902327927,0.31254514324093796,0.4581273724248029,0.3646495158016975,0.36975624404701474,0.9423388007744744,0.39029893006537375,0.04176523370584877,5.6e-06
9,0.5414649626472966,nan,0.5008944733785763,0.5548158021692132,0.5414649626472966,0.48208913459528463,0.4175926604357693,0.3254885155928759,0.3475884673817835,0.7229040685359038,0.41773214155281546,0.04698588791907986,6.299999999999999e-06
10,0.5621826853603128,nan,0.5710583572621851,0.5586590711827115,0.5621826853603128,0.27052859559808395,0.33024842448134856,0.30110445443350503,0.29397312908325895,0.870899533796136,0.48049980714771307,0.052206542132310955,6.999999999999999e-06
11,0.5604683572892105,nan,0.5235022718962917,0.574063623210027,0.5604683572892105,0.33735669119719086,0.3594039738044171,0.3537325865828862,0.36928332498600996,0.8013796916981901,0.4007452386467258,0.05742719634554205,7.699999999999999e-06
12,0.5403610710054637,nan,0.5227034808807721,0.5471613689276408,0.5403610710054637,0.23872379782639477,0.36646304804099983,0.32321278298444983,0.40829541164444816,0.778774226681777,0.44185928144014736,0.06264785055877314,8.4e-06
13,0.5969427742529665,nan,0.5563785381191456,0.6134087586110408,0.5969427742529665,0.34062849206654083,0.4580128932532395,0.3638187026444846,0.39887210153503716,0.8872988296096247,0.4425827932358232,0.06786850477200425,9.1e-06
14,0.5026474517071623,nan,0.45994631805696307,0.5184758423709601,0.5026474517071623,0.33642828573644856,0.30182439711403963,0.28134690133779855,0.298120647513122,0.7001391604738821,0.46108875411265876,0.07308915898523534,9.8e-06
15,0.5331109992694114,nan,0.46671150236537234,0.5581379861198213,0.5331109992694114,0.32163091719978365,0.3199568124340211,0.2636703971507907,0.2890067482265071,0.7138812372979091,0.4379527282284614,0.07830981319846643,1.05e-05
16,0.5409959410317243,nan,0.4261490463201083,0.5804450286742385,0.5409959410317243,0.2744181348199021,0.4393964229152128,0.24829950742158632,0.27121936537117175,0.7273033203431948,0.4115500207570819,0.08353046741169753,1.12e-05
17,0.5176712430547927,nan,0.47057810275044065,0.5355499346519951,0.5176712430547927,0.27749163664043536,0.45198688148927346,0.32102582109029687,0.33717742301098985,0.7908945775878818,0.38320190841390467,0.08875112162492862,1.1899999999999998e-05
18,0.5343005149625247,nan,0.518515979689534,0.5397554186695448,0.5343005149625247,0.394834753006037,0.4856307898466835,0.3351392863038588,0.3363897570144083,0.8057391260995986,0.47195690890782804,0.09397177583815972,1.2599999999999998e-05
19,0.5214486502809449,nan,0.4843132995765501,0.5347157722723636,0.5214486502809449,0.3621438441644901,0.37232031573964064,0.28238687180670186,0.3579619953773262,0.7980767645178409,0.39979506911180684,0.09919243005139082,1.3299999999999998e-05
20,0.5585134554421533,nan,0.5688828036761352,0.5547111673165717,0.5585134554421533,0.3582561451290593,0.3847278847113185,0.33024096102575773,0.3120621310206747,0.7161511625673801,0.42707500416059796,0.10441308426462191,1.3999999999999998e-05
21,0.5647648582234983,nan,0.51410039067467,0.5819586458606599,0.5647648582234983,0.2558712867610616,0.3935268824702237,0.33082616341045473,0.34988625183141,0.7959129488227814,0.4200424365004432,0.109633738477853,1.47e-05
22,0.5111833808477971,nan,0.5047665411728876,0.513607333065862,0.5111833808477971,0.40884473078383726,0.32521672202644164,0.26608414826915416,0.23695114846206122,0.8773987878898063,0.42211833592459347,0.1148543926910841,1.5399999999999998e-05
23,0.5459003532305364,nan,0.5017516444399415,0.5607130077832175,0.5459003532305364,0.3008759180256237,0.37829343841168295,0.330046951070229,0.3735545851584789,0.745731083924865,0.45676104110627186,0.1200750469043152,1.61e-05
24,0.5434155671391641,nan,0.5152554695015018,0.5541749850113129,0.5434155671391641,0.35802189445259824,0.40086195587137874,0.2988862934678791,0.3442628389462329,0.8277968422801284,0.45433499936209526,0.1252957011175463,1.68e-05
25,0.5464218202978378,nan,0.4918441951547298,0.5643241382017548,0.5464218202978378,0.30078397852356414,0.37327320232626215,0.2747293701538449,0.3757353083116775,0.7734986837998465,0.4062902923077641,0.13051635533077738,1.75e-05
26,0.5322810937650504,nan,0.5230626372809764,0.5353564683316371,0.5322810937650504,0.328001771285278,0.2690355217776463,0.3294993848963596,0.33944833926772916,0.766604009936795,0.4484023298165449,0.1357370095440085,1.82e-05
27,0.5400278666056698,nan,0.48374817456104585,0.5620611631345339,0.5400278666056698,0.2536952134709264,0.378393878106279,0.32134743214839384,0.3497964719028244,0.7847554449829465,0.41894020738769133,0.1409576637572396,1.89e-05
28,0.5335206469753762,nan,0.48847081172973944,0.5488688110974109,0.5335206469753762,0.2522997087407276,0.263099687250075,0.2989627006869539,0.3323274708158067,0.7475943200427299,0.3746326660704802,0.14617831797047068,1.96e-05
29,0.5347118612844505,nan,0.47397620829285,0.5571329742830483,0.5347118612844505,0.4020642150088681,0.3659533481671408,0.3026295486318783,0.31435432294926946,0.7314853240754893,0.3934753902846682,0.15139897218370177,2.0299999999999995e-05
30,0.5581016326323154,nan,0.46642936083638964,0.5938141807413179,0.5581016326323154,0.3180640696029619,0.562000091345334,0.28728573784902633,0.3094514361698733,0.7522500208096771,0.40848813229567094,0.15661962639693286,2.1e-05
31,0.5290869600139566,nan,0.45609183949873616,0.5580148659967465,0.5290869600139566,0.3142370034744847,0.3776022272403545,0.3475972611699496,0.3253030010905383,0.6669477752453018,0.41781357648354234,0.16184028061016395,2.1699999999999996e-05
32,0.5523800380760807,nan,0.6172607228550121,0.5283185295534897,0.5523800380760807,0.3690950499286735,0.4575432753488925,0.3519948852433214,0.3934783157979926,0.855058226267977,0.5533934011343871,0.16706093482339507,2.24e-05
33,0.5416947389021521,nan,0.5117760892503167,0.5543364665494139,0.5416947389021521,0.39357007745129374,0.35903665614545494,0.29205367510536084,0.3001172919809526,0.8027731784122877,0.38793718672605426,0.17228158903662616,2.31e-05
34,0.5426708473823969,nan,0.49825547751786364,0.5599693895864886,0.5426708473823969,0.33475794591273,0.3374401336934915,0.29842528063084306,0.3625797118498468,0.8063427148034472,0.41252251450955074,0.17750224324985725,2.3799999999999996e-05
35,0.5356726429890845,nan,0.5211959420651169,0.5416992137310787,0.5356726429890845,0.4213491695739797,0.47306054441760936,0.3817650099245935,0.3205938209186947,0.7767736208712919,0.406411674669961,0.18272289746308834,2.45e-05
36,0.5386667563579981,nan,0.4932235959881643,0.5574148045379753,0.5386667563579981,0.33826221592399663,0.42143691654287174,0.27891625189483726,0.3153847959383927,0.7883026331874102,0.4083145346132214,0.18794355167631943,2.5199999999999996e-05
37,0.5711984767112889,nan,0.599400862381077,0.5603766082924027,0.5711984767112889,0.33449108934270744,0.355784337919876,0.2778630642910133,0.30836202456877027,0.9038464052328264,0.4476322204582095,0.19316420588955052,2.59e-05
38,0.5743986645247792,nan,0.628897269624058,0.555306536210688,0.5743986645247792,0.3938556966957692,0.39911809154505185,0.32115013300355993,0.3903167963260873,0.8052742850792224,0.44255166948617436,0.19838486010278164,2.6599999999999996e-05
39,0.5331011603120718,nan,0.4368760421074534,0.5682786745532401,0.5331011603120718,0.2914418309119469,0.36334942513793206,0.31226947893634954,0.27091938466796683,0.7392630617859868,0.44492397736373435,0.20360551431601273,2.73e-05
40,0.5470657941186805,nan,0.5139705734287381,0.5580664779087499,0.5470657941186805,0.45630367238669,0.2900858430579878,0.31214635582514405,0.30822365083522674,0.7867844008481589,0.46506854094106487,0.20882616852924382,2.7999999999999996e-05
