iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
1,0.6493149634916338,nan,0.6412067075674955,0.6522371973344763,0.6493149634916338,0.36670566725202236,0.4976022868387159,0.3766763113593267,0.385710231007268,0.9721490291856318,0.5161939322222436,0.9617787736458827,0.9735209204119447,0.9837979919851769,0.005220654213231096,7e-07
2,0.6176982042379682,nan,0.5785453517510096,0.6325579284367171,0.6176982042379682,0.30251522663664254,0.3807814752030924,0.33001418576591324,0.3982537727203469,0.8640481063778036,0.4331772736106732,0.960229330114665,0.972218869442768,0.9825789579561457,0.010441308426462192,1.4e-06
3,0.6455613235011698,nan,0.6681746554955271,0.6378145644458625,0.6455613235011698,0.5476273522045745,0.4845092574348214,0.3721821926945086,0.394803572569364,1.0644600994739852,0.49084819249495965,0.9606188733622798,0.9725829999431183,0.9837697427049165,0.015661962639693286,2.1e-06
4,0.6431859969161452,nan,0.6629586159226253,0.6345665686612684,0.6431859969161452,0.3748995934235163,0.4824523699606894,0.34130897480896283,0.3925277919101092,1.1448061932528402,0.4302683812198285,0.9602162409106484,0.9726843567975025,0.9826588495069859,0.020882616852924384,2.8e-06
5,0.6221228111535317,nan,0.614646324604615,0.6247005631444917,0.6221228111535317,0.39447720982046447,0.3672432033729342,0.34642303414065273,0.425486140911083,0.9241406871448095,0.44963347179668,0.9576236603019824,0.9708756631370948,0.9817435941493589,0.026103271066155478,3.4999999999999995e-06
6,0.6152157392352828,nan,0.5704501797558809,0.6328983291586032,0.6152157392352828,0.29158792430348934,0.4316854441874831,0.3040062172375565,0.34975424054580273,0.918228930448141,0.48764088339387407,0.9680831459845944,0.9781815501418937,0.9870452953967493,0.03132392527938657,4.2e-06
7,0.627558266278357,nan,0.6132944328609492,0.63273423940399,0.627558266278357,0.4850949182420929,0.4126037568072348,0.3881497761777941,0.394041143743573,0.933582961718405,0.4892861758962655,0.9619968836635167,0.9737539713054212,0.9839528907056276,0.03654457949261767,4.9e-06
8,0.6135709285736087,nan,0.6171290949194856,0.6122384343160834,0.6135709285736087,0.3345637204685384,0.5119638862759305,0.39532523649155155,0.4272178975485837,1.0560277377367087,0.4351771608838881,0.9566877659022517,0.969077513749092,0.980699387776279,0.04176523370584877,5.6e-06
9,0.6342166605709892,nan,0.5809128568528931,0.6516848364563013,0.6342166605709892,0.5149330257186744,0.48451298940122334,0.3560704790050492,0.41397879969670165,0.8418900008073373,0.4476703460050293,0.9604968689046299,0.9730007186120522,0.9835745816651268,0.04698588791907986,6.299999999999999e-06
10,0.635818736162037,nan,0.6287504846686203,0.6386127687883698,0.635818736162037,0.28046194856913864,0.42147804212334017,0.3299307964080848,0.3404942288911136,0.9657555139540628,0.5307247999137708,0.9688380468170744,0.9797902764537655,0.9872894820463934,0.052206542132310955,6.999999999999999e-06
11,0.6257394612766805,nan,0.5934372829448114,0.6375582788410534,0.6257394612766805,0.3624037288627041,0.4327278614782073,0.38456533647646485,0.42639208059296774,0.9128871842868227,0.45397609477044554,0.958272964358157,0.9712863201707015,0.9816653934300993,0.05742719634554205,7.699999999999999e-06
12,0.6161852930672471,nan,0.5879258398433289,0.6270092696912855,0.6161852930672471,0.2505049108723285,0.484403863518632,0.3691126742669566,0.4701623181250669,0.8949799423211299,0.4591046936586813,0.9516084997952404,0.9654638940710744,0.9775902079446694,0.06264785055877314,8.4e-06
13,0.6639507138170305,nan,0.6420346502829971,0.6728018728338375,0.6639507138170305,0.3555945342046008,0.5153114360141734,0.40905082421755556,0.4789182049071137,1.0428167287377788,0.4600504505167489,0.9496244024584566,0.9648759389938538,0.9786023218757114,0.06786850477200425,9.1e-06
14,0.5780327629763641,nan,0.5378313774569438,0.5928654988503925,0.5780327629763641,0.37872905207968577,0.3585122315173454,0.314367847176517,0.360342339848927,0.8663700070664282,0.46031413859260834,0.9655287228000078,0.9763793407368235,0.9853497071900034,0.07308915898523534,9.8e-06
15,0.6045038653537633,nan,0.5319134698235303,0.6317425060812301,0.6045038653537633,0.3467179270974725,0.37183918232177376,0.2954727691303467,0.3679358810699179,0.8154147936738159,0.4010438960025202,0.964354639942335,0.9750273211337689,0.9853512218941103,0.07830981319846643,1.05e-05
16,0.6056339680217213,nan,0.49916774685765464,0.6419950150982768,0.6056339680217213,0.3208213008998104,0.5072820907817828,0.2884874668388845,0.3314811120171154,0.8613064564274144,0.3968324548783361,0.9691319283873951,0.9793387064808086,0.9870515954284205,0.08353046741169753,1.12e-05
17,0.5827889871327706,nan,0.5233965940796182,0.6052930348760073,0.5827889871327706,0.2961944429961331,0.48081413469638157,0.3383290399566557,0.38044110179791046,0.8963820153839709,0.383170826294882,0.962061598718177,0.9732241410005341,0.9822325084564715,0.08875112162492862,1.1899999999999998e-05
18,0.595896006096155,nan,0.581578371376785,0.6008147747827725,0.595896006096155,0.4277376392721094,0.549773857177713,0.37804073874592786,0.38634216910750424,0.9170883901797472,0.4497662280696435,0.9625386706665416,0.9749507827880379,0.9843817380706853,0.09397177583815972,1.2599999999999998e-05
19,0.5962905860506003,nan,0.5731957915657021,0.6044939715922606,0.5962905860506003,0.3759040543940513,0.49754726211140066,0.31168668793148085,0.45386159521337066,0.961718862609673,0.39736394880797293,0.953984319315752,0.9671560940841055,0.9793014967925873,0.09919243005139082,1.3299999999999998e-05
20,0.6437559179030363,nan,0.6500306669270721,0.6414684410145328,0.6437559179030363,0.3914090107686564,0.4413134687796508,0.3575653102224967,0.3911812690518463,0.8656611990604285,0.6325155966145297,0.9606608087510087,0.9737962879942617,0.9845557249170627,0.10441308426462191,1.3999999999999998e-05
