iter_num,completion_cross_entropy,context_cross_entropy,cross_entropy,detached_cross_entropy,full_cross_entropy,inproject_cross_entropy,infile_cross_entropy,commited_cross_entropy,common_cross_entropy,non_informative_cross_entropy,random_cross_entropy,completion_exact_match,inproject_top_1_accuracy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
1,0.633302705606509,0.6661671603145193,0.6619242271997714,nan,0.6619242271997714,0.37432975567494503,0.3819822464711444,0.3851892900755708,0.46183955178446606,0.979080587427124,0.47941650810253283,0.3727134477514664,0.9007208322517521,0.9630997783590584,0.9745811784908448,0.9847247459116232,0.005220654213231096,7e-07
2,0.5715654453479324,0.6470634085979132,0.6370961512047414,nan,0.6370961512047414,0.3872459875310905,0.31936041428551604,0.28281626642182256,0.3685386277768042,0.8742484502607025,0.42629524797562124,0.43483693076558527,0.8998147836336083,0.9619969691867317,0.9739181680417579,0.9837009597575349,0.010441308426462192,1.4e-06
3,0.6595346260638044,0.675281228161886,0.6734592845359639,nan,0.6734592845359639,0.39495341064687395,0.36466529102162604,0.5612052106501281,0.4564225382162686,1.0445420737637652,0.4939343836834103,0.3850143238170503,0.8973893150316242,0.9604360113039968,0.9724633292961916,0.9833131476248149,0.015661962639693286,2.1e-06
4,0.6482765366595508,0.6530440807110375,0.6523449028362506,nan,0.6523449028362506,0.37961037911255807,0.338513269590828,0.37975172152981745,0.44505110887419075,1.1568393507107912,0.4271228998388463,0.412028794798359,0.8998772403633685,0.9615025779523693,0.9733693428267453,0.9842867665111711,0.020882616852924384,2.8e-06
5,0.6096310166133853,0.6464108578117514,0.6416965949623148,nan,0.6416965949623148,0.4064409100116851,0.3460356729725997,0.3757687577304931,0.38184218442730555,0.900473048359061,0.4447147521471277,0.42458876787234995,0.8936426056951657,0.9586281412289568,0.9716984420201457,0.9823812345334774,0.026103271066155478,3.4999999999999995e-06
6,0.5593816672883307,0.6447793880614375,0.633730455794046,nan,0.633730455794046,0.35169846597233834,0.3080055241597128,0.2786677978852272,0.43947207102098973,0.9108200368665113,0.4794758301272697,0.40843855027704606,0.9077482186974113,0.9678112356332128,0.9784095384725554,0.9871101722224211,0.03132392527938657,4.2e-06
7,0.6174687596214863,0.6739673315052576,0.6674877440034311,nan,0.6674877440034311,0.39975524471159357,0.39369221675451443,0.49685579903956356,0.397092415539156,0.9473986768169883,0.48788333920997096,0.3662359870796124,0.8969154387574023,0.9614778776942555,0.973580842621578,0.983869359759137,0.03654457949261767,4.9e-06
8,0.5965810543336703,0.6522868478116733,0.6451591057471429,nan,0.6451591057471429,0.4169128088630813,0.3948383809238726,0.35034460669774825,0.5143220659987139,1.0573668955046784,0.4078272749659918,0.40791136574269105,0.8923134196759214,0.957501420538041,0.9703940278621392,0.9814252405117856,0.04176523370584877,5.6e-06
9,0.5800885800237082,0.6578024964436825,0.6491477531789521,nan,0.6491477531789521,0.41586036091850287,0.3584571105713324,0.5373570564124774,0.4912565312898748,0.8446869996466201,0.44419446074728225,0.4228457840236686,0.8895497350261161,0.9601776659422776,0.9728544740554348,0.9831484235007053,0.04698588791907986,6.299999999999999e-06
10,0.5900347101149378,0.6517192267657399,0.6428672591480804,nan,0.6428672591480804,0.310572975266853,0.3229551625258477,0.19970979942826766,0.43490808240167367,0.9550903619645419,0.4956987085863516,0.4189478427396643,0.9169945873018422,0.9720370697547421,0.9815454297232618,0.9888854981449061,0.052206542132310955,6.999999999999999e-06
