iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,epoch,learning_rate
1,0.6253664098709524,nan,0.6253664098709524,nan,0.6253664098709524,0.37303737640361206,0.4534198934218078,0.3710056853934079,0.3757375741922678,0.9681519483596824,0.4711797346475647,0.005220654213231096,7e-07
2,0.5667049745680048,nan,0.5667049745680048,nan,0.5667049745680048,0.2696341744651776,0.36440751388940446,0.309638566147153,0.39020106243730174,0.8679086834434495,0.4201635457219892,0.010441308426462192,1.4e-06
3,0.6536119392386517,nan,0.6536119392386517,nan,0.6536119392386517,0.549362993048867,0.46002144701795045,0.3586115720636033,0.39319836359825516,1.037562132720906,0.48675006069274873,0.015661962639693286,2.1e-06
4,0.6438140401547677,nan,0.6438140401547677,nan,0.6438140401547677,0.3697371445354379,0.44474253077425835,0.330409840487407,0.3831818223291037,1.1503256727748639,0.42166168910708474,0.020882616852924384,2.8e-06
5,0.6035379008637156,nan,0.6035379008637156,nan,0.6035379008637156,0.369854432390083,0.3708219004874652,0.33503023126986986,0.40256664390787994,0.8941803985078469,0.43839366379674916,0.026103271066155478,3.4999999999999995e-06
6,0.5507169770265062,nan,0.5507169770265062,nan,0.5507169770265062,0.2680978236937633,0.43774529306689397,0.30132461929891285,0.3498302799334017,0.9017975892701084,0.4684530451767053,0.03132392527938657,4.2e-06
7,0.6101963292951675,nan,0.6101963292951675,nan,0.6101963292951675,0.48384159701969676,0.39072742052846854,0.37885125524052604,0.39711239741586224,0.9404530959662023,0.4797966571578362,0.03654457949261767,4.9e-06
8,0.5929830330947475,nan,0.5929830330947475,nan,0.5929830330947475,0.3391082491505195,0.5112391417853909,0.3888164647128142,0.4191478816265551,1.0530533361219518,0.40359974986821934,0.04176523370584877,5.6e-06
9,0.5713414300130237,nan,0.5713414300130237,nan,0.5713414300130237,0.5201658248367165,0.49252556732396224,0.3499918334273245,0.4101474147896171,0.8349091289242662,0.43517478909920093,0.04698588791907986,6.299999999999999e-06
10,0.585781951734741,nan,0.585781951734741,nan,0.585781951734741,0.1963376949849701,0.42282025620499636,0.31644288696485734,0.3102441533407469,0.9507761432752622,0.4899097732139104,0.052206542132310955,6.999999999999999e-06
11,0.569485340651485,nan,0.569485340651485,nan,0.569485340651485,0.3454920320550504,0.4070983783866648,0.36095451124625827,0.4179462893161416,0.8867327848549134,0.4300277959458873,0.05742719634554205,7.699999999999999e-06
