iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,InCommit_cross_entropy,InFile_cross_entropy,InProject_cross_entropy,NonInformative_cross_entropy,Other_cross_entropy,OtherAPI_cross_entropy,TODO_cross_entropy,exact_match,detached_exact_match,completion_exact_match,context_exact_match,full_exact_match,InCommit_exact_match,InFile_exact_match,InProject_exact_match,NonInformative_exact_match,Other_exact_match,OtherAPI_exact_match,TODO_exact_match,InProject_top_1_accuracy,InProject_top_3_accuracy,InProject_top_5_accuracy,InProject_top_10_accuracy,epoch,learning_rate
1,0.6905344656842668,nan,0.6905344656842668,nan,0.6905344656842668,0.7436732226643116,0.6986647467738727,0.683597874410151,0.8792016323774672,0.7995203907869289,0.6183963585590335,0.5416139948415567,0.4494123658661216,nan,0.4494123658661216,nan,0.4494123658661216,0.24242424242424243,0.26666666666666666,0.24528301886792453,0.5957446808510638,0.35714285714285715,0.25925925925925924,0.225,0.8174496644295302,0.9221476510067114,0.9449664429530201,0.9664429530201343,0.03310915675116399,3.4999999999999995e-06
2,0.6358091173687511,nan,0.6358091173687511,nan,0.6358091173687511,0.6567291208647941,0.8946738352263982,0.7152220440703286,0.8160956742132114,0.4312732584369264,0.6708146013701576,0.9107369047550796,0.46445497630331756,nan,0.46445497630331756,nan,0.46445497630331756,0.4375,0.26666666666666666,0.3125,0.5714285714285714,0.4827586206896552,0.3333333333333333,0.17777777777777778,0.833729216152019,0.9239904988123515,0.9501187648456056,0.9667458432304038,0.06621831350232799,6.999999999999999e-06
3,0.6456324119594518,nan,0.6456324119594518,nan,0.6456324119594518,0.7479047521250323,0.9418360823163051,0.6137699840499253,0.8908082470481766,0.681565199432035,0.25565984768954964,0.4605236785048432,0.46197564276048714,nan,0.46197564276048714,nan,0.46197564276048714,0.3333333333333333,0.041666666666666664,0.23529411764705882,0.5277777777777778,0.41379310344827586,0.5526315789473685,0.2909090909090909,0.8478260869565217,0.9391304347826087,0.9608695652173913,0.9760869565217392,0.09932747025349198,1.05e-05
4,0.633676256859738,nan,0.633676256859738,nan,0.633676256859738,0.5208357846613604,0.7867959130157545,0.49389873784601535,0.8693095573443952,0.30264234768572823,0.44531119220022464,0.7708928018892893,0.4727272727272727,nan,0.4727272727272727,nan,0.4727272727272727,0.23809523809523808,0.34615384615384615,0.5294117647058824,0.5319148936170213,0.65,0.38636363636363635,0.15625,0.8745098039215686,0.9450980392156862,0.9607843137254902,0.984313725490196,0.13243662700465597,1.3999999999999998e-05
5,0.6808115491001205,nan,0.6808115491001205,nan,0.6808115491001205,0.9710568634985849,0.794827054867423,0.6507555273079544,0.7011370006271875,0.493232599975545,0.4556998856614672,0.7606139388682215,0.43590439978272677,nan,0.43590439978272677,nan,0.43590439978272677,0.14285714285714285,0.3125,0.2777777777777778,0.5333333333333333,0.5,0.4444444444444444,0.12244897959183673,0.8311926605504587,0.9302752293577982,0.9504587155963303,0.9688073394495413,0.16554578375581996,1.75e-05
6,0.6217470671989351,nan,0.6217470671989351,nan,0.6217470671989351,0.6295755106789862,0.5171830047886632,0.6813978274304495,0.46860892100339235,0.43321390838806595,0.48414979165902855,0.6574392248419346,0.47316538882803943,nan,0.47316538882803943,nan,0.47316538882803943,0.27906976744186046,0.21052631578947367,0.125,0.5897435897435898,0.4482758620689655,0.2727272727272727,0.25,0.8126410835214447,0.9209932279909706,0.9390519187358917,0.9616252821670429,0.19865494050698396,2.1e-05
7,0.568648581173403,nan,0.568648581173403,nan,0.568648581173403,0.578490199585856,0.9191538874005927,0.6074070690519267,0.9733360031099154,0.251318681199685,0.5387420510475636,0.8495775302706965,0.478580814717477,nan,0.478580814717477,nan,0.478580814717477,0.37142857142857144,0.26666666666666666,0.4166666666666667,0.3409090909090909,0.5,0.35,0.06818181818181818,0.8326359832635983,0.9267782426778243,0.9560669456066946,0.9748953974895398,0.23176409725814795,2.45e-05
8,0.5998672440280862,nan,0.5998672440280862,nan,0.5998672440280862,0.7216484540623304,0.6372177751766426,0.4764287356373162,0.8396314515795044,0.4234373652802718,0.5819192667310013,0.6402592895742185,0.4676724137931034,nan,0.4676724137931034,nan,0.4676724137931034,0.358974358974359,0.26666666666666666,0.5526315789473685,0.5490196078431373,0.48,0.2857142857142857,0.14102564102564102,0.8891013384321224,0.9426386233269598,0.9579349904397706,0.97131931166348,0.26487325400931194,2.7999999999999996e-05
9,0.6288271492412331,nan,0.6288271492412331,nan,0.6288271492412331,0.5238724152578248,0.5234794784784044,0.5444941347070638,1.0022215181456915,0.7273180769429658,0.54474844245726,0.6792126766028758,0.4634146341463415,nan,0.4634146341463415,nan,0.4634146341463415,0.1724137931034483,0.2972972972972973,0.15384615384615385,0.35135135135135137,0.5,0.2857142857142857,0.2,0.8588807785888077,0.9464720194647201,0.9635036496350365,0.9781021897810219,0.29798241076047594,3.149999999999999e-05
10,0.5252741686948109,nan,0.5252741686948109,nan,0.5252741686948109,0.4698981654704705,0.8067212241109583,0.6187497318970212,0.6138956116155706,0.5097413726292396,0.7057406571454916,0.6554002847054953,0.5020105165480977,nan,0.5020105165480977,nan,0.5020105165480977,0.3181818181818182,0.25,0.2413793103448276,0.6097560975609756,0.43478260869565216,0.375,0.2,0.85431654676259,0.9334532374100719,0.9586330935251799,0.9694244604316546,0.33109156751163993,3.5e-05
