iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,epoch,learning_rate,past_weights
1,0.5635730425568837,0.593060812924649,0.5635730425568837,0.593060812924649,0.5852211117744446,0.34261416397967603,0.45423304144071824,0.3293995238152849,0.3320029804074927,0.8357551598797078,0.4594604246973952,0.005220654213231096,7e-07,0.9999995920807123
2,0.5189873441333501,0.5792018683318296,0.5189873441333501,0.5792018683318296,0.5625831129727888,0.26945679282203167,0.33738601288644243,0.30402807045961333,0.3319218887832143,0.7640736005932774,0.39746727750223243,0.010441308426462192,1.4e-06,0.999998961109668
3,0.6029778429793208,0.5725659086504628,0.6029778429793208,0.5725659086504628,0.5803599911741917,0.5166733580767404,0.37947040055354997,0.35197819130904595,0.3424340086231321,0.9463641763256518,0.4475525518693999,0.015661962639693286,2.1e-06,0.999998077750206
4,0.6090862025324364,0.566461487251449,0.6090862025324364,0.566461487251449,0.5794378006830816,0.364633999543467,0.4263052845066838,0.31763441414255084,0.33726817676116916,1.0462209661745576,0.3998014171413606,0.020882616852924384,2.8e-06,0.9999969351726273
5,0.5374835573131586,0.5781528597264529,0.5374835573131586,0.5781528597264529,0.5676889499882236,0.3686710958697035,0.31455344065300167,0.3071857106918049,0.3639692161054994,0.7963258861560666,0.3943908466771048,0.026103271066155478,3.4999999999999995e-06,0.9999955204936365
6,0.5189774332793384,0.5774978282428289,0.5189774332793384,0.5774978282428289,0.5608684688340876,0.2758024307886498,0.3727414560079829,0.2722098333598783,0.3087227853516936,0.8170847670311286,0.44876638353824094,0.03132392527938657,4.2e-06,0.9999938958014051
7,0.5014305451629036,0.5808422344234787,0.5014305451629036,0.5808422344234787,0.5596161969006062,0.4364200517168623,0.2944202811552586,0.3399812307549888,0.33639970260147994,0.7286859409156741,0.4035854494031385,0.03654457949261767,4.9e-06,0.9999919408001006
8,0.5587339397197407,0.5713606750128272,0.5587339397197407,0.5713606750128272,0.5679086698219185,0.31211860560108184,0.45673247610749923,0.36533285169381235,0.3700087909052949,0.9427144960510427,0.39717950996505985,0.04176523370584877,5.6e-06,0.999989714473486
9,0.50237057426088,0.5578259988689148,0.50237057426088,0.5578259988689148,0.5440953033976259,0.481258787222436,0.4172241031758462,0.32599878380528324,0.34808319870831494,0.7229554753021391,0.3796786087162599,0.04698588791907986,6.299999999999999e-06,0.9999872792201737
10,0.5722272655088603,0.5617871491454614,0.5722272655088603,0.5617871491454614,0.5647540045902139,0.27035022171007206,0.331114986911416,0.3006470477128103,0.2938199816409187,0.8711396556428768,0.4848023808452872,0.052206542132310955,6.999999999999999e-06,0.9999845973215997
11,0.5247840484863765,0.5769150766173863,0.5247840484863765,0.5769150766173863,0.5628977441228928,0.33690888802946894,0.3613594755195578,0.35376475890234604,0.3692929855815439,0.8019354912477076,0.39466259728223474,0.05742719634554205,7.699999999999999e-06,0.9999817283824086
12,0.523641647636535,0.5501933814742584,0.523641647636535,0.5501933814742584,0.5428109141066674,0.23916320305425948,0.3667832244447033,0.3239698002575844,0.4080638453769694,0.7789479121898939,0.4164933678271494,0.06264785055877314,8.4e-06,0.9999786370123426
13,0.5574789234021915,0.6174499622447351,0.5574789234021915,0.6174499622447351,0.6001348905265332,0.34100471683550215,0.45857838418228597,0.36437847502524173,0.39903859655275936,0.887673380466951,0.40161348785550244,0.06786850477200425,9.1e-06,0.9999752348909775
14,0.46089263760424226,0.5221855290645813,0.46089263760424226,0.5221855290645813,0.5056098236236723,0.3359004298534712,0.30191823071588253,0.28163954347103887,0.2982848322479997,0.7001753088894584,0.41088411564020133,0.07308915898523534,9.8e-06,0.9999715050992867
15,0.4676536217421024,0.5626539387281417,0.4676536217421024,0.5626539387281417,0.5366486539132892,0.32235517147111364,0.3196032637226183,0.2636184027267477,0.2892299543257481,0.7141153799180263,0.355380254153726,0.07830981319846643,1.05e-05,0.9999676003741721
