iter_num,completion_cross_entropy,context_cross_entropy,cross_entropy,detached_cross_entropy,full_cross_entropy,inproject_cross_entropy,infile_cross_entropy,commited_cross_entropy,common_cross_entropy,non_informative_cross_entropy,random_cross_entropy,completion_exact_match,inproject_top_1_accuracy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
1,0.6422842450369334,0.6759468904285898,0.6670288823079323,nan,0.6670288823079323,0.3859019232089961,0.3763831760622151,0.3668197150506679,0.49775351333231255,0.9752385778372885,0.5161591883942537,0.37587827688132963,0.8973370103847977,0.9618218640927306,0.9735209204119447,0.9838841728788728,0.005220654213231096,7e-07
2,0.5793609133250577,0.6554900189675499,0.6345456764101988,nan,0.6345456764101988,0.39814654782851366,0.33098940600030513,0.30283287672457365,0.3796922182355788,0.866243748067977,0.4331742976932912,0.4355336807566107,0.8970830818748743,0.9602896801448401,0.9723798028565681,0.9824180245423456,0.010441308426462192,1.4e-06
3,0.6689406487414128,0.6652518287233998,0.6661930750124164,nan,0.6661930750124164,0.39461334732799913,0.37243895382513065,0.5472929393109546,0.48482953684286734,1.0669407684822763,0.49064316024798216,0.3827930174563591,0.896190819286703,0.9608464003337063,0.9726398816859748,0.9838835061906297,0.015661962639693286,2.1e-06
4,0.6638490344919236,0.6603150281937544,0.661387895699591,nan,0.661387895699591,0.3927158703425844,0.3413318848753163,0.37483662602181417,0.4826907429574735,1.1471496894743172,0.4304065467431337,0.4009576165986877,0.8973236380248981,0.9602352762020786,0.9727414626717935,0.9825827083412647,0.020882616852924384,2.8e-06
5,0.6154864179419316,0.6496187225497,0.6408677208237353,nan,0.6408677208237353,0.4255359991225932,0.34574933861551943,0.3946627641944166,0.3671193343764702,0.9266189636105342,0.44948492831668335,0.41557645134914145,0.8871754118430378,0.9575377478038618,0.9706608818917932,0.9818080285229493,0.026103271066155478,3.4999999999999995e-06
6,0.5713082165219625,0.6581018734878137,0.6335256921593101,nan,0.6335256921593101,0.349746140704981,0.3039217088149536,0.2913248779175285,0.4299377411205124,0.9207979695828923,0.48796266955427836,0.40373723193106453,0.9082666863229278,0.9682489956879077,0.9781446946522685,0.9870084399071242,0.03132392527938657,4.2e-06
7,0.6135859052386801,0.657348413508368,0.6456963636446746,nan,0.6456963636446746,0.39370843595141863,0.38802589065858356,0.48460698852106754,0.4129646581036406,0.9349835175893184,0.48906741465222714,0.367987522542282,0.8972418398526822,0.9619968836635167,0.9738753870125665,0.9838719469008641,0.03654457949261767,4.9e-06
8,0.617098569722597,0.6348460395348613,0.6300105974078181,nan,0.6300105974078181,0.42664223593000933,0.3948102999869008,0.3342457731069139,0.5100353036515995,1.0569982838767162,0.4347618791333876,0.3901734104046243,0.8887205561896856,0.9568952993670229,0.9691397737885235,0.9806371277368475,0.04176523370584877,5.6e-06
9,0.5804163338662927,0.6752108437390916,0.6518140373169429,nan,0.6518140373169429,0.4126414777244274,0.35540869145898096,0.514254575495147,0.48352945783358076,0.8423330933640217,0.4467313372347953,0.4165671641791045,0.8896827841084077,0.9603531464941998,0.972959655066215,0.9835951134380454,0.04698588791907986,6.299999999999999e-06
10,0.6281850699445666,0.6583935354900788,0.649835353251547,nan,0.649835353251547,0.339633993576068,0.32889980269457286,0.28010157615720793,0.4186791197498099,0.9656292693997459,0.5299369438511926,0.39479797749738077,0.9089715072555873,0.9691134413727359,0.9797479080605868,0.9873318504395721,0.052206542132310955,6.999999999999999e-06
11,0.5925731661457577,0.6573737900606698,0.6400154619477696,nan,0.6400154619477696,0.42522485523806325,0.38375820158379853,0.36181343052235343,0.4323961645679047,0.9125814867698433,0.45276870832392413,0.39605649824627925,0.8869892784700087,0.9583519928347515,0.9716287769026106,0.9818234503832881,0.05742719634554205,7.699999999999999e-06
