iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,epoch,learning_rate,past_weights
1,0.5635730425568837,0.593060812924649,0.5635730425568837,0.593060812924649,0.5852211117744446,0.34261416397967603,0.45423304144071824,0.3293995238152849,0.3320029804074927,0.8357551598797078,0.4594604246973952,0.005220654213231096,7e-07,0.999917286913842
2,0.5190650681016767,0.5791468972229884,0.5190650681016767,0.5791468972229884,0.5625647574197504,0.26959253438016373,0.3371294115044904,0.30396443934822953,0.3319331887990974,0.7642311218824477,0.3975232929985251,0.010441308426462192,1.4e-06,0.9997518956661224
3,0.6030136506366284,0.5725544674596558,0.6030136506366284,0.5725544674596558,0.5803606668487197,0.5172067794772068,0.38143543189007617,0.3519651440700201,0.3426259789820862,0.9464286494736459,0.4474211388449316,0.015661962639693286,2.1e-06,0.9995038624232014
4,0.6091599630051824,0.5665540699177662,0.6091599630051824,0.5665540699177662,0.579524657223374,0.3646799368204258,0.42737954557955565,0.3175544883952174,0.33732549336950035,1.0462688183374733,0.3998895393199099,0.020882616852924384,2.8e-06,0.9991732443061968
5,0.5376195566980073,0.5781283085169593,0.5376195566980073,0.5781283085169593,0.5677057059947407,0.36870665580815787,0.3140985359698955,0.3073694690272829,0.36403948205405584,0.7964050864412389,0.394611665516767,0.026103271066155478,3.4999999999999995e-06,0.9987601102329791
6,0.5190756835081364,0.5774896809546847,0.5190756835081364,0.5774896809546847,0.5608905679546299,0.2759152549989986,0.37150691384603357,0.27263292792966476,0.30893213251868185,0.8170541395229104,0.44888199009337615,0.03132392527938657,4.2e-06,0.998264588881284
7,0.5014317699822965,0.5808001433642641,0.5014317699822965,0.5808001433642641,0.5595856851432477,0.43679757093364435,0.2950654435028392,0.3401860096887449,0.3363778217626654,0.7286299419587261,0.4035830686881822,0.03654457949261767,4.9e-06,0.997686653242757
8,0.5586584529945796,0.5682387620146772,0.5586584529945796,0.5682387620146772,0.5656196190975611,0.3124941439944468,0.45786377423401803,0.36495975744827713,0.36961647769676154,0.9427436975091472,0.39712553862113076,0.04176523370584877,5.6e-06,0.997026541425536
9,0.5024893510798347,0.554918113643452,0.5024893510798347,0.554918113643452,0.5419368277071046,0.48228060659326966,0.41717524613560086,0.32598565863990925,0.3481278297993335,0.7234131942607192,0.379479333232101,0.04698588791907986,6.299999999999999e-06,0.9962845191669961
10,0.5722262640096392,0.5586397292475355,0.5722262640096392,0.5586397292475355,0.5625007390044633,0.27036795056680074,0.33112159514007966,0.3009293562236024,0.2937671206914061,0.8711113238304303,0.4847786501950082,0.052206542132310955,6.999999999999999e-06,0.9954606668713192
11,0.5246613600426561,0.5738764059205586,0.5246613600426561,0.5738764059205586,0.5606431439518936,0.3362413811034511,0.36293609734284726,0.3533313425638954,0.36933223701038664,0.8018498401596559,0.39448079769637817,0.05742719634554205,7.699999999999999e-06,0.9945552687471112
