iter_num,cross_entropy,detached_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,epoch,learning_rate
1,0.5579388417438023,0.7293008929753222,0.3421182088517038,0.4578101064960501,0.33155787267059267,0.33261103691249966,0.8184010269316498,0.4548806238735385,0.005220654213231096,7e-07
2,0.527543825676532,0.7370727045933476,0.2756414241492907,0.3380141123098153,0.3059197318339951,0.3401321267891909,0.7813950549615571,0.44299059397538193,0.010441308426462192,1.4e-06
3,0.6058129001523691,0.7250846402315858,0.5174340182470354,0.39578582869942974,0.3506898373595861,0.3437440487709477,0.9565494809547346,0.5292546796851892,0.015661962639693286,2.1e-06
4,0.6184880531625981,0.6797307326929866,0.3661450132474313,0.42591547784476835,0.32055265551880524,0.33765102353154436,1.0686832197146228,0.4515268828514641,0.020882616852924384,2.8e-06
5,0.5435382818421804,0.7208443103251916,0.3652684492096774,0.31077110143158804,0.3048911779301455,0.36449993946965764,0.8120548631785071,0.40759610447424416,0.026103271066155478,3.4999999999999995e-06
6,0.5237205514336084,0.6879440020183943,0.2712136070655228,0.3682294434002634,0.2631523283418982,0.29924498097103114,0.8312868296980523,0.4943465544100944,0.03132392527938657,4.2e-06
7,0.5121641687639062,0.7207678717789646,0.42727031812725685,0.2961985355910484,0.3429249824237169,0.3384210170233682,0.7466020076257426,0.4431587948883041,0.03654457949261767,4.9e-06
8,0.5646569537926113,0.6747972181769306,0.30933167219858154,0.4654100683020261,0.36540073835845266,0.3756484666762113,0.9586614658912714,0.39590843244794366,0.04176523370584877,5.6e-06
9,0.5067874228318243,0.6725964746809563,0.42608358392440093,0.41769307873914174,0.3266946192850492,0.3481994577263743,0.734824254754341,0.42040063307425585,0.04698588791907986,6.299999999999999e-06
10,0.574178149280389,0.686932004658096,0.26783979727089474,0.347742008749366,0.3012801861071388,0.2949849553920773,0.8788726566071687,0.48159435922648614,0.052206542132310955,6.999999999999999e-06
11,0.5435873630541863,0.7107302954646861,0.35055570395995006,0.32020852997205596,0.3597931135585916,0.37193158963169315,0.8272390262705286,0.42248108678576274,0.05742719634554205,7.699999999999999e-06
12,0.5189621413439851,0.6897939407628821,0.23932139370673705,0.3623807179548645,0.3246264196685173,0.4168508908869146,0.7635163193769269,0.4347963335470154,0.06264785055877314,8.4e-06
13,0.5639136517589078,0.7673864929209736,0.3346467701757477,0.45990523664025684,0.36774496506054904,0.39839872413738686,0.9003056520081957,0.449345343556282,0.06786850477200425,9.1e-06
14,0.46645976826584573,0.7022903181115545,0.34032886407796625,0.30444610632285063,0.27985986315001443,0.30083598923119553,0.7172050692090265,0.4604231538540772,0.07308915898523534,9.8e-06
15,0.48335815749126565,0.691505457081513,0.32978511449167874,0.31152023616148455,0.256138413163022,0.3125771302573356,0.7368243812295142,0.45648281141305747,0.07830981319846643,1.05e-05
16,0.4350753830434507,0.6845683947340238,0.27685051667209876,0.44920622588880776,0.25086432509771994,0.2767207454799188,0.7459233977829294,0.41935928374994,0.08353046741169753,1.12e-05
17,0.47661954424918856,0.6494259231516893,0.27939454987418394,0.41795293008409456,0.32292952023583077,0.34072873174346574,0.8042515632817197,0.3880112699366075,0.08875112162492862,1.1899999999999998e-05
18,0.5213441480933216,0.6679232504471831,0.40061379229475425,0.4665972139894215,0.3397674716379658,0.3366869632269331,0.8099404986810813,0.4724606533755886,0.09397177583815972,1.2599999999999998e-05
19,0.49763033028981796,0.6478683717999951,0.3613074349739075,0.39402108795517365,0.28584133626795977,0.3645720382145228,0.8229609955859,0.4128034804306785,0.09919243005139082,1.3299999999999998e-05
20,0.5799210845201814,0.6817619669747805,0.3596735810703342,0.40669157618260965,0.3343815206967564,0.3183756903194629,0.7353991030983066,0.45122822734050455,0.10441308426462191,1.3999999999999998e-05
21,0.5199803431624911,0.7709535298176786,0.2567708913567992,0.40642030433892234,0.33439142452275944,0.35163956831777665,0.8041497399332842,0.42466282262711225,0.109633738477853,1.47e-05
22,0.5109662869841867,0.6572382418046679,0.34808761913892766,0.3276774986954292,0.26806287562983866,0.24207446590613751,0.886221815298455,0.42260404121550527,0.1148543926910841,1.5399999999999998e-05
23,0.5065168162713286,0.7048865705048326,0.3117983766813948,0.3789168556326444,0.331272438121941,0.3566661837344043,0.7594781495130513,0.4659886476581191,0.1200750469043152,1.61e-05
24,0.5173448350298331,0.6769324658115371,0.35664209040351363,0.3870549408098061,0.2977917116992021,0.3460183864854422,0.835655045321294,0.4561328149249394,0.1252957011175463,1.68e-05
25,0.4952994172485156,0.6953442121809155,0.2960966945208999,0.3785190561547404,0.2768085683812248,0.3768650646010917,0.7803317052123225,0.4156438750532092,0.13051635533077738,1.75e-05
26,0.5320280122296877,0.6881857218717676,0.33154258227902345,0.2753186792271116,0.33434460898627766,0.3487169052766025,0.7823226759027604,0.4591424247015553,0.1357370095440085,1.82e-05
27,0.4888915559842394,0.721362842623295,0.25390025268681177,0.3853310690972535,0.3273181639104435,0.35082525314786955,0.7967972693975454,0.43092931660845857,0.1409576637572396,1.89e-05
28,0.5011727238899264,0.7295042972386508,0.25360749848549535,0.2718528084441301,0.30199107870003156,0.3340950310582559,0.7727137855246587,0.3986262905624321,0.14617831797047068,1.96e-05
29,0.48506371311903435,0.6931627664539249,0.40453378366961273,0.38463537796390496,0.30983091243646055,0.3172465987767764,0.7592411463664637,0.4007836395692709,0.15139897218370177,2.0299999999999995e-05
