iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,InCommit_cross_entropy,InFile_cross_entropy,InProject_cross_entropy,NonInformative_cross_entropy,Other_cross_entropy,OtherAPI_cross_entropy,TODO_cross_entropy,exact_match,detached_exact_match,completion_exact_match,context_exact_match,full_exact_match,InCommit_exact_match,InFile_exact_match,InProject_exact_match,NonInformative_exact_match,Other_exact_match,OtherAPI_exact_match,TODO_exact_match,InProject_top_1_accuracy,InProject_top_3_accuracy,InProject_top_5_accuracy,InProject_top_10_accuracy,epoch,learning_rate
1,0.6872269773551445,nan,0.6234081412661622,5.2574738962787215,0.6872269773551445,0.6615965254353108,0.5607883460528238,0.533353869838336,0.773773866281616,0.7182429242304933,0.4683343889049702,0.3546308357739704,0.48749283941187704,nan,0.5022794846382557,0.09895833333333333,0.48749283941187704,0.21951219512195122,0.4090909090909091,0.3793103448275862,0.5964912280701754,0.38461538461538464,0.40425531914893614,0.4090909090909091,0.8610095098756401,0.9370885149963424,0.9539136795903438,0.9736649597659107,0.03310915675116399,3.4999999999999995e-06
2,0.666249639113476,nan,0.6022329272249182,5.272941834452442,0.666249639113476,0.6360832114511222,0.8671293301291942,0.6309134713045041,0.6233443910158839,0.5169743677283622,0.4669056757053698,0.9463758966465465,0.49287248584260884,nan,0.5082166768107121,0.09895833333333333,0.49287248584260884,0.45977011494252873,0.25,0.2692307692307692,0.6666666666666666,0.4666666666666667,0.4074074074074074,0.14893617021276595,0.8402457757296466,0.9370199692780338,0.9539170506912442,0.9708141321044547,0.06621831350232799,6.999999999999999e-06
3,0.6713155464980863,nan,0.6055716969175705,5.290132492861451,0.6713155464980863,0.7391835057291717,0.8183894956480778,0.594567798655964,0.8671303051586253,0.5947332100814199,0.2753034538017179,0.45370024847492857,0.4803216250528989,nan,0.4949272165857962,0.13541666666666666,0.4803216250528989,0.2894736842105263,0.06666666666666667,0.23809523809523808,0.5681818181818182,0.39473684210526316,0.5217391304347826,0.3125,0.8476702508960573,0.9408602150537635,0.96415770609319,0.9767025089605734,0.09932747025349198,1.05e-05
4,0.6745547058663738,nan,0.6030146089106567,4.955084335819691,0.6745547058663738,0.5116236558129983,0.7579427328189661,0.42022857771764777,0.6058315828696782,0.29510698842908933,0.47942608022074923,0.7890064746977016,0.4969217238346526,nan,0.5089531680440771,0.22395833333333334,0.4969217238346526,0.2857142857142857,0.375,0.6,0.5918367346938775,0.6428571428571429,0.43137254901960786,0.14705882352941177,0.8986486486486487,0.9527027027027027,0.9662162162162162,0.9831081081081081,0.13243662700465597,1.3999999999999998e-05
5,0.7119589655897283,nan,0.6462386512755813,4.4792251428779295,0.7119589655897283,0.929282844778808,0.7590615985453074,0.667281374630051,0.6466840431443416,0.4419889306956702,0.4144149748526053,0.7882041342313524,0.45806890299184044,nan,0.46777251184834123,0.24479166666666666,0.45806890299184044,0.2631578947368421,0.3055555555555556,0.2564102564102564,0.5319148936170213,0.6046511627906976,0.5,0.12962962962962962,0.8232323232323232,0.9292929292929293,0.9461279461279462,0.9663299663299664,0.16554578375581996,1.75e-05
6,0.6071623077609423,nan,0.5535131554884445,4.21213787705151,0.6071623077609423,0.6107847243349286,0.3936137562332747,0.5917868423084145,0.5127614524313026,0.507689421671361,0.48427399632789053,0.7295494752313466,0.5090189177298724,nan,0.5167661920073495,0.3333333333333333,0.5090189177298724,0.29545454545454547,0.37037037037037035,0.1891891891891892,0.6,0.4444444444444444,0.25806451612903225,0.22916666666666666,0.834054834054834,0.935064935064935,0.9552669552669553,0.9711399711399712,0.19865494050698396,2.1e-05
7,0.5874124329716455,nan,0.5418129687572057,3.5750725275770106,0.5874124329716455,0.5882937765908721,0.5882893604699706,0.6035632358439136,0.814253562656608,0.26958607736058127,0.474617386982372,0.8871149028149939,0.5096153846153846,nan,0.5167682926829268,0.3385416666666667,0.5096153846153846,0.391304347826087,0.2857142857142857,0.3333333333333333,0.5,0.5531914893617021,0.34615384615384615,0.06521739130434782,0.8333333333333334,0.9327485380116959,0.9619883040935673,0.9766081871345029,0.23176409725814795,2.45e-05
8,0.5564254213848324,nan,0.52378738320204,3.015525037972607,0.5564254213848324,0.6956108161295305,0.5874146027226559,0.3980402199221648,0.5205844060197424,0.360835584032145,0.5613763400773107,0.45554576512230066,0.4988044877689903,nan,0.5044804575786463,0.34375,0.4988044877689903,0.3076923076923077,0.25,0.5531914893617021,0.5901639344262295,0.48333333333333334,0.27450980392156865,0.2540983606557377,0.9025110782865583,0.9556868537666174,0.9675036927621861,0.9793205317577548,0.26487325400931194,2.7999999999999996e-05
9,0.6239419554242723,nan,0.5886425475898995,2.653587356189968,0.6239419554242723,0.5770289486479482,0.5018985520310223,0.5568124402852532,0.8024050706673211,0.6549824308589675,0.4567756853803487,0.6888140609052836,0.4940848990953375,nan,0.4964797280893421,0.4427083333333333,0.4940848990953375,0.14705882352941177,0.375,0.2413793103448276,0.47619047619047616,0.5757575757575758,0.2807017543859649,0.18604651162790697,0.8562231759656652,0.9484978540772532,0.9592274678111588,0.9763948497854077,0.29798241076047594,3.149999999999999e-05
10,0.49038133684429114,nan,0.46121969357021925,2.1888663335280003,0.49038133684429114,0.4680348720733095,0.7882323808675639,0.5207660036493825,0.5376605460812728,0.3506902464294781,0.6994173339530394,0.6489330605491177,0.5684051398337112,nan,0.5634101138469685,0.6666666666666666,0.5684051398337112,0.2692307692307692,0.19047619047619047,0.375,0.6363636363636364,0.5483870967741935,0.3076923076923077,0.2413793103448276,0.8794701986754967,0.9443708609271523,0.9589403973509933,0.9735099337748344,0.33109156751163993,3.5e-05
