iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
1,0.6287684915241154,nan,0.6287684915241154,nan,0.6287684915241154,0.3753513946808611,0.46267916409224386,0.37679582418001284,0.3765014896944795,0.9708378751430378,0.4822707007988807,0.9625960169270572,0.9748099717213855,0.9838952287358858,0.005220654213231096,7e-07
2,0.5669796864251192,nan,0.5669796864251192,nan,0.5669796864251192,0.26894924214731253,0.3710529559642806,0.30938023280063515,0.3918604041803158,0.8653009426739339,0.41881846370908987,0.9608238741030545,0.9731398796470113,0.9824032000561413,0.010441308426462192,1.4e-06
3,0.6553346259370044,nan,0.6553346259370044,nan,0.6553346259370044,0.5497978786441355,0.47145675630233985,0.36033874466251403,0.3913609177614367,1.0476836610586064,0.48462452661999683,0.9608225033610259,0.9727153641973181,0.9830052742252404,0.015661962639693286,2.1e-06
4,0.6470757671180754,nan,0.6470757671180754,nan,0.6470757671180754,0.36980542516887815,0.45420162140916154,0.3322476146571689,0.3885721995550147,1.1486793929317565,0.4197972460608269,0.9599657281096701,0.9721120892413144,0.9830824541361468,0.020882616852924384,2.8e-06
5,0.5987524361637915,nan,0.5987524361637915,nan,0.5987524361637915,0.37042748622102256,0.37050795470239917,0.3344699995088439,0.3992716272696741,0.8931463636872937,0.43764512581711507,0.9593331917604587,0.9718977843845119,0.9828519855595668,0.026103271066155478,3.4999999999999995e-06
6,0.5524458470392177,nan,0.5524458470392177,nan,0.5524458470392177,0.26859926617758295,0.43596963660759475,0.3014545398393035,0.3497862051065947,0.9018577990015797,0.46979383213282727,0.9678528574242885,0.9780253237100847,0.9864068628328886,0.03132392527938657,4.2e-06
7,0.610205023166721,nan,0.610205023166721,nan,0.610205023166721,0.484244887058551,0.3894738026283961,0.37943287270715537,0.3970342861831293,0.9404224254061773,0.4797868238319037,0.9613383047873507,0.9734811476880745,0.9831914342113134,0.03654457949261767,4.9e-06
8,0.5969368268826275,nan,0.5969368268826275,nan,0.5969368268826275,0.34170102364930455,0.518441749894045,0.38854376123629214,0.42023799520389205,1.056463455226414,0.4070951302907969,0.956640632684779,0.968719875666424,0.9799138321103263,0.04176523370584877,5.6e-06
9,0.5713190516746433,nan,0.5713190516746433,nan,0.5713190516746433,0.5208291829304865,0.49324242906438537,0.34982229748660815,0.4104591703281778,0.834749522449633,0.43506156062519,0.9605017347211102,0.9730641656182089,0.9829959205459606,0.04698588791907986,6.299999999999999e-06
10,0.5988676989653731,nan,0.5988676989653731,nan,0.5988676989653731,0.21709010902589979,0.42283812459649395,0.317412354027171,0.31844232923457877,0.9582835584936813,0.4994719468771206,0.9710013896562694,0.9807289835417817,0.9879618932810956,0.052206542132310955,6.999999999999999e-06
11,0.5762906533035941,nan,0.5762906533035941,nan,0.5762906533035941,0.34311788930030857,0.4075973338471254,0.3728527167242166,0.41958881826858313,0.8943677531328681,0.4347439448231035,0.9582882705731983,0.9715121423655491,0.981221118867368,0.05742719634554205,7.699999999999999e-06
12,0.5637087904323989,nan,0.5637087904323989,nan,0.5637087904323989,0.24717553532102352,0.4848594984543116,0.3671871917881547,0.45622557880147363,0.880519182856921,0.433139542386969,0.9536140740284029,0.9661713628049408,0.9781942988675832,0.06264785055877314,8.4e-06
13,0.6271671320511759,nan,0.6271671320511759,nan,0.6271671320511759,0.3382022014943814,0.480996140393206,0.3990990457475345,0.4679216132345828,1.0281545590434906,0.4487624909287073,0.9511922582277413,0.9655288735215366,0.9786215766060171,0.06786850477200425,9.1e-06
