iter_num,cross_entropy,exact_match,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_10_accuracy,epoch,learning_rate
1,0.540514894473512,0.44507509839094,0.868394391350056,0.9394355098746658,0.9547354703798183,0.9693256684073654,0.0012071827372868568,2.9166666666666664e-07
2,0.5657540663489965,0.432473183699922,0.8627488218598677,0.9362153309958219,0.9521042374870925,0.9673136496290458,0.0024143654745737136,5.833333333333333e-07
3,0.5455763381407502,0.447817558280735,0.867058244312392,0.9379152879393322,0.9537549090326201,0.9693846200819031,0.0036215482118605704,8.749999999999999e-07
4,0.591176674202569,0.42411814036375073,0.8570731958684185,0.9332310998465544,0.9500309181546824,0.9657772289699292,0.004828730949147427,1.1666666666666666e-06
5,0.5675536822142241,0.4371909918746603,0.8617467813083541,0.93564238816281,0.9519455277051275,0.96766089164414,0.006035913686434284,1.458333333333333e-06
6,0.584863553435985,0.42549633435008294,0.857867904058259,0.9327411639763323,0.9495988114628567,0.9660976840891937,0.007243096423721141,1.7499999999999998e-06
7,0.6043887339206819,0.39527941778605485,0.8535598751825026,0.9320393537736299,0.9491759945797906,0.9652677182636245,0.008450279161007998,2.0416666666666665e-06
8,0.6000105543077687,0.42125296966674103,0.8558625562100801,0.9314385006826362,0.9483105947050343,0.9644876409428973,0.009657461898294854,2.333333333333333e-06
9,0.5786477606888075,0.43094964844935163,0.8591854555865722,0.9343917161739794,0.9512523560709087,0.9671662729940591,0.010864644635581712,2.625e-06
10,0.5485544053159113,0.43617490280950666,0.8672960277544804,0.9393595897893893,0.9548531697528833,0.9692990867775968,0.012071827372868568,2.916666666666666e-06
11,0.601169112252997,0.4195383465939626,0.8543451757473771,0.931098595203889,0.9481400713177762,0.9651958567768104,0.013279010110155426,3.2083333333333332e-06
12,0.5618238655161859,0.4325391101378198,0.8626693840631565,0.9366659606015675,0.952847255219634,0.9686173146245165,0.014486192847442281,3.4999999999999995e-06
13,0.571327031066633,0.4390566511910903,0.8620094666713775,0.9351579799723658,0.9514033380663507,0.9669611832097879,0.01569337558472914,3.7916666666666662e-06
14,0.5758545800826361,0.4140590773315632,0.8604976119665103,0.9359545071030156,0.952125750674796,0.9671821968380986,0.016900558322015997,4.083333333333333e-06
15,0.5997674239897747,0.41935397935397933,0.8543441502923709,0.9309999007618437,0.9482883326463,0.9655500465655964,0.01810774105930285,4.375e-06
16,0.5837602654008903,0.4206494978310993,0.8572342208705845,0.9338747520565702,0.9506824052278597,0.9669431033067397,0.01931492379658971,4.666666666666666e-06
17,0.5923477406862862,0.42178856180103214,0.8563477596984301,0.9318814715846734,0.9490537767810279,0.9658643889869734,0.020522106533876566,4.958333333333333e-06
18,0.5569925863536871,0.4389353026338509,0.8641763484982227,0.9370432044277978,0.9531073311544243,0.9686198916907222,0.021729289271163424,5.25e-06
19,0.6074757551456031,0.4160755882429921,0.852788284957905,0.9298137327386773,0.9476057144219991,0.9648052660449808,0.022936472008450278,5.5416666666666656e-06
20,0.5451497427526164,0.44807408401556836,0.8679420877503451,0.938935946409788,0.9543437050782033,0.9689086282303127,0.024143654745737136,5.833333333333332e-06
21,0.5530112943536375,0.44820627207307684,0.8651292361918619,0.9371003434969478,0.9530388691904814,0.9685516037813305,0.025350837483023993,6.125e-06
