iter_num,cross_entropy,detached_cross_entropy,completion_cross_entropy,context_cross_entropy,full_cross_entropy,commited_cross_entropy,common_cross_entropy,infile_cross_entropy,inproject_cross_entropy,non_informative_cross_entropy,random_cross_entropy,epoch,learning_rate
1,0.6149582650788922,0.6938113214213518,0.6149582650788922,0.6938113214213518,0.6725693775165331,0.35665965671220184,0.4858077219648458,0.35559831349185067,0.3542827069222352,0.9270885647718784,0.5000728668531194,0.005220654213231096,7e-07
2,0.5513581692053263,0.6532583666860535,0.5513581692053263,0.6532583666860535,0.625134687870741,0.29390234519320435,0.3700547497711717,0.31577292674770396,0.37255425042627116,0.8188202930171242,0.413246818559749,0.010441308426462192,1.4e-06
3,0.6437233290038428,0.6806694150930586,0.6437233290038428,0.6806694150930586,0.6710979906052422,0.5353707856712873,0.4784426721113906,0.3594546424756383,0.38022219006470365,1.0155238686213013,0.47509219631214217,0.015661962639693286,2.1e-06
4,0.6346785794088164,0.6796618458064835,0.6346785794088164,0.6796618458064835,0.66584025825517,0.37263028188464253,0.4640340342448834,0.3213045729878324,0.3597319017437628,1.0932138379120033,0.416692236763496,0.020882616852924384,2.8e-06
5,0.5766599307943517,0.6673808295065092,0.5766599307943517,0.6673808295065092,0.6435581026890146,0.3812251351041279,0.3503991223481522,0.3210628325952764,0.40326029891657666,0.8359487637353721,0.4351859205612985,0.026103271066155478,3.4999999999999995e-06
6,0.5487929874860462,0.6595258050853612,0.5487929874860462,0.6595258050853612,0.6277628528270557,0.2812977668312634,0.4213167507790324,0.28578820391823034,0.32212025763112595,0.8690229360826743,0.47937312327644177,0.03132392527938657,4.2e-06
7,0.5855952773746742,0.6919968072215313,0.5855952773746742,0.6919968072215313,0.6634037622371904,0.4702163861001257,0.40714632315494437,0.3699350390083358,0.3757919662138089,0.8755944672392121,0.47408002868052407,0.03654457949261767,4.9e-06
8,0.5903911685439314,0.6825685176478995,0.5903911685439314,0.6825685176478995,0.6572767247077101,0.32192600611738675,0.496397457924064,0.37763232223427384,0.4057999149665405,0.9973649240038416,0.41984564524155554,0.04176523370584877,5.6e-06
9,0.5549233196567677,0.6268941291410987,0.5549233196567677,0.6268941291410987,0.6090142872918479,0.4987463389157573,0.4610210524543971,0.3287108559332391,0.388333412081056,0.7976941476874932,0.43186790229242483,0.04698588791907986,6.299999999999999e-06
10,0.6007678078646992,0.6870409010753368,0.6007678078646992,0.6870409010753368,0.6623247977297013,0.2772349229826127,0.40404143698071304,0.31620064465743664,0.31620881546535223,0.9152145093403135,0.5113120087964327,0.052206542132310955,6.999999999999999e-06
